대피소명,주소,위도,경도,수용인원,시도,시군구
의령초등학교 운동장,경상남도 의령군 의령읍 의병로19길 20,35.32181341,128.2607996,1758,경남,의령군
정곡중학교 운동장,경상남도 의령군 정곡면 의합대로 1061-6 ,35.38180312,128.3279139,2912,경남,의령군
감포읍행정복지센터 주차장,경상북도 경주시 감포읍 감포로8길 14-8 ,35.80727083,129.5019171,2117,경북,경주시
인덕초등학교 운동장,경상북도 포항시 남구 서원재로170번길 9(인덕동),35.98433591,129.4021346,6061,경북,포항시
이동초등학교 운동장,경상북도 포항시 남구 포스코대로 147-10 (대잠동),36.02694865,129.3432327,4000,경북,포항시
흥해남산초등학교 운동장,경상북도 포항시 북구 흥해읍 남미질로 26,36.10476192,129.3456559,3879,경북,포항시
정곡공설운동장,경상남도 의령군 정곡면 법정로 851-8 ,35.37727624,128.3323127,6772,경남,의령군
남산초등학교 운동장,경상남도 의령군 의령읍 남산로 37,35.32094677,128.2672101,4508,경남,의령군
장기중학교 운동장,경상북도 포항시 남구 장기면 읍내길 53,35.89179275,129.4928788,6303,경북,포항시
청하중학교 운동장,경상북도 포항시 북구 청하면 청하로151번길 26,36.19395801,129.3350887,4970,경북,포항시
포항고등학교 운동장,경상북도 포항시 북구 아호로 50(학산동),36.05563051,129.3714058,14545,경북,포항시
포항항도초등학교 운동장,경상북도 포항시 북구 항도길 13(학산동),36.05164412,129.3693841,4848,경북,포항시
고전복지회관 주차장,경상남도 하동군 고전면 하동읍성로 341,35.02124414,127.8176158,606,경남,하동군
별천지배움터 하동행복마을학교,경상남도 하동군 고전면 소량산길 10-1 ,35.00070085,127.7978182,1669,경남,하동군
옥종중학교 운동장,경상남도 하동군 옥종면 옥종중앙길 35,35.17869679,127.8790574,6388,경남,하동군
진남초등학교,경상남도 통영시 도남로 38(미수동),34.83236299,128.4092725,3273,경남,통영시
지정공설운동장,경상남도 의령군 지정면 기강로 7-11 ,35.38002082,128.3933035,10375,경남,의령군
강구면 하저문화 마을 뒤 공터(하저지구),경상북도 영덕군 강구면 하저1길 3-16 ,36.38955075,129.4052369,800,경북,영덕군
고성동중학교 운동장,경상남도 고성군 거류면 당동1길 59-14 ,34.98720436,128.401063,6061,경남,고성군
