LO,SHNT_PLACE_SN,RN_DTL_ADRES,SHNT_PLACE_NM,EV_ANTCTY,ARCD,SHNT_PLACE_DTL_POSITION,USE_AT,LA,SHNTDTR_SN,SHNT_PLACE_TY_CD,ERTHQK_SHUNT_AT,PSBL_NMPR,RDNMADR_CD
129.4392657,2,,마을뒤 주차장,19,4793000000,경상북도 울진군 후포면 삼율리 432-3,Y,36.6813177,26,2,N,500,
129.4359237,1,경상북도 울진군 후포면 정실2길 104,남울진 청년회의소,20,4793000000,경상북도 울진군 후포면 삼율리 769,Y,36.6775146,28,2,N,300,4.79304E+24
129.4389305,2,경상북도 울진군 후포면 정실2길 24,공영하이츠 옥상,35,4793000000,경상북도 울진군 후포면 삼율리 258,Y,36.6774715,28,4,Y,500,4.79304E+24
129.4403923,3,경상북도 울진군 후포면 후포삼율로 70,보성장여관 옥상,15,4793000000,경상북도 울진군 후포면 삼율리 247,Y,36.6763056,28,4,N,200,4.79304E+24
129.4362912,4,,공장부지,40,4793000000,경상북도 울진군 후포면 금음리 28-12,Y,36.6734617,28,2,N,500,
129.4588244,1,경상북도 울진군 후포면 후포6길 9-52 ,후포2리마을고지대,25,4793000000,경상북도 울진군 후포면 후포리 361-1,Y,36.6835462,31,2,N,100,4.79304E+24
129.4563943,2,경상북도 울진군 후포면 후포5길 17-4 ,후포2리 뒷산,35,4793000000,경상북도 울진군 후포면 후포리 292-1,Y,36.6838495,31,2,N,400,4.79304E+24
128.6045108,1,강원특별자치도 속초시 해오름로 99(대포동), 속초시하수처리사업소,18,5121000000,강원특별자치도 속초시 대포동 542,Y,38.1828791,12,2,N,630,4.22101E+24
129.1590661,2,강원특별자치도 삼척시 수로부인길 333(증산동),이사부공원,30,5123000000,강원특별자치도 삼척시 증산동 1,Y,37.4746239,2,2,N,200,4.22301E+24
129.4476653,1,,지경IC,20,3120000000,울산광역시 북구 신명동 104-12,Y,35.6513833,2,2,N,400,
129.4391879,2,,신명동 야산,24,3120000000,울산광역시 북구 신명동 134-2,Y,35.6443947,2,2,N,400,
129.4396034,3,울산광역시 북구 동해안로 1769(신명동),울산교육수련원 주차장,11,3120000000,울산광역시 북구 신명동 153-5,Y,35.6412162,2,2,N,800,3.12001E+24
129.1637,1,강원특별자치도 삼척시 수로부인길 453(갈천동),쏠비치주차장1,35,5123000000,강원특별자치도 삼척시 갈천동 225,Y,37.4708,2,2,N,5000,4.22301E+24
129.1606405,3,강원특별자치도 삼척시 수로부인길 453(갈천동),심심사앞공터,20,5123000000,강원특별자치도 삼척시 증산동 172,Y,37.4728997,2,2,N,250,4.22301E+24
129.4278315,1,경상북도 포항시 북구 흥해읍 죽천길185번길 30,죽천초등학교 운동장,22,4711300000,경상북도 포항시 북구 흥해읍 우목리 20,Y,36.09778199,12,5,N,200,4.71133E+24
129.4179368,2,,죽천마을입구 앞 버스,16,4711300000,경상북도 포항시 북구 흥해읍 죽천리 711-1,Y,36.092433,12,2,N,80,
129.4176069,3,,해뜨는집 앞 공터,30,4711300000,경상북도 포항시 북구 흥해읍 죽천리 173-16,Y,36.0886421,12,2,N,90,
129.4131464,1,경상북도 포항시 북구 해안로511번길 9(여남동),해안로511번길10,23,4711300000,경상북도 포항시 북구 여남동 97,Y,36.0734681,13,2,N,150,4.71131E+24
129.4005427,2,경상북도 포항시 북구 삼호로 480-8 (환호동), 환호여중 앞,14,4711300000,경상북도 포항시 북구 환호동 69,Y,36.071144,13,2,N,370,4.71131E+24
129.3950656,3,, 환호공원,14,4711300000,경상북도 포항시 북구 환호동 323-3,Y,36.0680026,13,2,N,570,
129.4052392,4,경상북도 포항시 북구 여남포길21번길 18(여남동),포항해양과학고등학교(한국해양마이스터고등학교) 운동장,22,4711300000,경상북도 포항시 북구 여남동 390,Y,36.07468429,13,5,N,200,4.71131E+24
129.3812344,1,,두호1어린이공원,14,4711300000,경상북도 포항시 북구 두호동 1084-2,Y,36.06453058,14,2,N,1939,
128.5905223,1,,속초조양동선사유적,36,5121000000,강원특별자치도 속초시 조양동 1529,Y,38.1881809,14,2,N,1900,
128.5972083,2,"강원특별자치도 속초시 조양로 40(조양동, 속초조양동 E.S 아뜨리움)",속초ES아뜨리움아파트,16,5121000000,강원특별자치도 속초시 조양동 1571,Y,38.18759828,14,2,N,5000,4.22101E+24
128.6002171,4,강원특별자치도 속초시 영금정로5길 8-28 (영랑동),속초등대전망대,38,5121000000,강원특별자치도 속초시 영랑동 1-7,Y,38.21363683,3,2,N,618,4.22101E+24
129.423171,3,경상북도 울진군 후포면 옥동길 36,금음4리 마을회관 앞,5,4793000000,경상북도 울진군 후포면 금음리 381,Y,36.645175,25,1,,50,4.79304E+24
129.3752655,2,,학산5어린이공원,20,4711300000,경상북도 포항시 북구 항구동 344-6,Y,36.0569511,14,2,N,1500,
129.3714058,3,경상북도 포항시 북구 아호로 50(학산동),포항고등학교 운동장,19,4711300000,경상북도 포항시 북구 학산동 288,Y,36.05563051,14,5,N,14545,4.71131E+24
129.294214,1,,황영조기념관,30,5123000000,강원특별자치도 삼척시 근덕면 초곡리 64,Y,37.3076329,10,1,N,200,
129.2847941,2,,초곡마을입구공터,16,5123000000,강원특별자치도 삼척시 근덕면 초곡리 406-11,Y,37.3106674,10,2,N,100,
129.3469072,1,,남화산공원,60,5123000000,강원특별자치도 삼척시 원덕읍 임원리 45,Y,37.2312748,15,2,N,100,
129.3420517,2,,국도옆공터,45,5123000000,강원특별자치도 삼척시 원덕읍 임원리 412-3,Y,37.2308687,15,2,N,100,
129.345147,3,강원특별자치도 삼척시 원덕읍 임원중앙로 19-75 ,임원마을회관옆공터,35,5123000000,강원특별자치도 삼척시 원덕읍 임원리 65-1,Y,37.2334015,15,2,N,150,4.22303E+24
128.679955,1,,동호리 야산1,35,5183000000,강원특별자치도 양양군 손양면 동호리 산 44,Y,38.058189,11,2,N,250,
128.680589,2,,동호리 야산2,40,5183000000,강원특별자치도 양양군 손양면 동호리 563-8,Y,38.052956,11,2,N,250,
128.791267,1,,원포리 야산,17,5183000000,강원특별자치도 양양군 현남면 원포리 6-2,Y,37.930054,17,2,N,100,
128.796853,2,,지경리 야산,14,5183000000,강원특별자치도 양양군 현남면 지경리 산 1-1,Y,37.919726,17,2,N,100,
129.0982175,1,,노봉해수욕장 내 야산,19,5117000000,강원특별자치도 동해시 망상동 170-1,Y,37.5882803,3,2,Y,700,
129.0995264,2,강원특별자치도 동해시 동해대로 6100(망상동),목재유통센터,28,5117000000,강원특별자치도 동해시 망상동 721,Y,37.5816572,3,2,Y,450,4.21701E+24
